,bid,ask,last,openinterest,type,expiration,strike,underlying,underlying_last,quotedate,implied_vol,delta,gamma,vega,theta,rho,ticker,event_date,day_to_event
2015-12-17,914.0,936.0,951.4,0.0,put,2016-02-18,6050,AS51,5102.008,2015-12-17,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-1
2015-12-18,958.0,984.0,947.3,0.0,put,2016-02-18,6050,AS51,5106.659000000001,2015-12-18,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-2
2015-12-21,949.0,975.0,949.9,0.0,put,2016-02-18,6050,AS51,5109.049,2015-12-21,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-5
2015-12-22,927.0,953.0,941.9,0.0,put,2016-02-18,6050,AS51,5116.691,2015-12-22,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-6
2015-12-23,878.0,904.0,912.2,0.0,put,2016-02-18,6050,AS51,5141.779,2015-12-23,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-7
2015-12-24,842.0,852.0,858.5,0.0,put,2016-02-18,6050,AS51,5207.649,2015-12-24,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-8
2015-12-29,801.0,810.0,764.9,0.0,put,2016-02-18,6050,AS51,5267.344,2015-12-29,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-13
2015-12-30,734.0,759.0,722.2,0.0,put,2016-02-18,6050,AS51,5319.941999999999,2015-12-30,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-14
2015-12-31,721.0,742.0,756.0,0.0,put,2016-02-18,6050,AS51,5295.859,2015-12-31,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-15
2016-01-04,725.0,746.0,760.6,0.0,put,2016-02-18,6050,AS51,5270.475,2016-01-04,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-19
2016-01-05,837.0,849.0,872.4,0.0,put,2016-02-18,6050,AS51,5184.434,2016-01-05,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-20
2016-01-06,923.0,949.0,935.8,0.0,put,2016-02-18,6050,AS51,5123.134,2016-01-06,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-21
2016-01-07,998.0,1011.0,1052.8,0.0,put,2016-02-18,6050,AS51,5010.34,2016-01-07,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-22
2016-01-08,1039.0,1119.0,1082.3,0.0,put,2016-02-18,6050,AS51,4990.839,2016-01-08,0.33321712686727994,-0.9501563510551426,0.00016928894817782293,1.578316274187335,-0.946757016147243,-6.542451295635384,AS51 02-18-16 P6050 Index,2015-12-16,-23
2016-01-11,1124.0,1197.0,1143.9,0.0,put,2016-02-18,6050,AS51,4932.237,2016-01-11,0.38911926492410376,-0.9393270434999289,0.0001820276342767612,1.7939017908540822,-1.2126918694460107,-6.014289774354424,AS51 02-18-16 P6050 Index,2015-12-16,-26
2016-01-12,1093.0,1168.0,1128.7,0.0,put,2016-02-18,6050,AS51,4925.1320000000005,2016-01-12,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-27
2016-01-13,1072.0,1082.0,1071.8,0.0,put,2016-02-18,6050,AS51,4987.44,2016-01-13,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-28
2016-01-14,1143.0,1157.0,1130.8,0.0,put,2016-02-18,6050,AS51,4909.383,2016-01-14,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-29
2016-01-15,1093.0,1173.0,1175.8,0.0,put,2016-02-18,6050,AS51,4892.8009999999995,2016-01-15,0.3811617314700539,-0.9591420846710798,0.00014094619112644887,1.1980192401146452,-0.9687281037321663,-5.466726189991926,AS51 02-18-16 P6050 Index,2015-12-16,-30
2016-01-18,1170.0,1250.0,1190.1,0.0,put,2016-02-18,6050,AS51,4858.702,2016-01-18,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,-33
