,bid,ask,last,openinterest,type,expiration,strike,underlying,underlying_last,quotedate,implied_vol,delta,gamma,vega,theta,rho,ticker,event_date,day_to_event
2016-04-13,71.0,83.0,77.9,1267.0,put,2016-05-19,4975,AS51,5054.655,2016-04-13,0.17186367477914988,-0.39144411460167483,0.0014033030141713425,6.077545588670253,-1.5960461844998437,-2.028343513405738,AS51 05-19-16 P4975 Index,2016-03-16,-28
2016-04-14,54.0,61.0,58.3,1282.0,put,2016-05-19,4975,AS51,5118.622,2016-04-14,0.17927998161969336,-0.30970226251758975,0.0012379626541148294,5.575972718573704,-1.544727472596344,-1.5760057124118043,AS51 05-19-16 P4975 Index,2016-03-16,-29
2016-04-15,35.0,46.0,38.6,1282.0,put,2016-05-19,4975,AS51,5157.486,2016-04-15,0.16505842963083953,-0.24425123843678662,0.0012056148238671854,4.930698601947525,-1.2899030910931901,-1.2093961548628276,AS51 05-19-16 P4975 Index,2016-03-16,-30
2016-04-18,41.0,49.0,44.3,1270.0,put,2016-05-19,4975,AS51,5137.055,2016-04-18,0.17440011468276131,-0.2698515538532673,0.0012636230049098422,4.939256163805868,-1.4916848117009753,-1.2149811094074132,AS51 05-19-16 P4975 Index,2016-03-16,-33
2016-04-19,26.0,35.0,27.8,1270.0,put,2016-05-19,4975,AS51,5188.813,2016-04-19,0.1675672688279225,-0.19613126901769148,0.001108337398502679,4.109846561573701,-1.2231352219926408,-0.8593055986730089,AS51 05-19-16 P4975 Index,2016-03-16,-34
2016-04-20,21.0,27.0,22.4,1294.0,put,2016-05-19,4975,AS51,5215.9529999999995,2016-04-20,0.16932105149007592,-0.16566332051575527,0.0009984825723978027,3.654465935909105,-1.130887502753821,-0.7043361839832699,AS51 05-19-16 P4975 Index,2016-03-16,-35
2016-04-21,15.0,21.0,17.7,2009.0,put,2016-05-19,4975,AS51,5272.713000000001,2016-04-21,0.1833578011489511,-0.12915270079797883,0.0007856142229628347,3.0721481998066724,-1.0563555017119721,-0.5359776297400872,AS51 05-19-16 P4975 Index,2016-03-16,-36
2016-04-22,22.0,25.0,23.8,2011.0,put,2016-05-19,4975,AS51,5236.366,2016-04-22,0.18936856836436208,-0.16290273985388748,0.0009117489120187829,3.5019830357439776,-1.2912116963365963,-0.6486053683150417,AS51 05-19-16 P4975 Index,2016-03-16,-37
2016-04-26,24.0,27.0,26.1,2014.0,put,2016-05-19,4975,AS51,5220.644,2016-04-26,0.20487238427568824,-0.17590375727872753,0.0009622376065986179,3.385703154169425,-1.5758446346762605,-0.5951208379544342,AS51 05-19-16 P4975 Index,2016-03-16,-41
2016-04-27,31.0,40.0,35.6,2094.0,put,2016-05-19,4975,AS51,5187.706,2016-04-27,0.21823705959498702,-0.21791447843305065,0.0010582339287316595,3.746197853764499,-1.941555119234671,-0.7028404777969357,AS51 05-19-16 P4975 Index,2016-03-16,-42
2016-04-28,19.0,26.0,22.9,2094.0,put,2016-05-19,4975,AS51,5225.428,2016-04-28,0.2072590458306614,-0.16289557786485614,0.000946782423820937,3.082718352205975,-1.5842746002043198,-0.5029063393609643,AS51 05-19-16 P4975 Index,2016-03-16,-43
2016-04-29,16.0,20.0,18.2,2099.0,put,2016-05-19,4975,AS51,5252.217,2016-04-29,0.21011722265277202,-0.13610921738285692,0.0008445409283846604,2.682284291778576,-1.4619731678043468,-0.4016850111753078,AS51 05-19-16 P4975 Index,2016-03-16,-44
2016-05-02,15.0,17.0,15.3,2092.0,put,2016-05-19,4975,AS51,5242.969,2016-05-02,0.21146222863292405,-0.1259788605221509,0.0008644876085625176,2.3404653409345,-1.504677491548857,-0.314757682913434,AS51 05-19-16 P4975 Index,2016-03-16,-47
2016-05-03,4.0,7.0,4.9,2090.0,put,2016-05-19,4975,AS51,5353.84,2016-05-03,0.21116267242209696,-0.048885795929132086,0.00042778720051164456,1.1350182127176973,-0.7684638276769289,-0.11687747054344096,AS51 05-19-16 P4975 Index,2016-03-16,-48
2016-05-04,10.0,15.0,13.4,2115.0,put,2016-05-19,4975,AS51,5271.137,2016-05-04,0.23228031945194452,-0.10962032957494923,0.0007553004201288103,2.003268413640899,-1.5939582924675175,-0.2429686747293326,AS51 05-19-16 P4975 Index,2016-03-16,-49
2016-05-05,7.0,11.0,8.3,2115.0,put,2016-05-19,4975,AS51,5279.056,2016-05-05,0.2157246480281066,-0.08057884982103593,0.0006699176557039798,1.5447880531100193,-1.2218257490667537,-0.16634311366278737,AS51 05-19-16 P4975 Index,2016-03-16,-50
2016-05-06,6.0,10.0,9.2,2115.0,put,2016-05-19,4975,AS51,5292.045999999999,2016-05-06,0.2370924543422038,-0.0834762445305379,0.000648034596045326,1.5325464031208456,-1.4303621555374733,-0.16061593527444146,AS51 05-19-16 P4975 Index,2016-03-16,-51
2016-05-09,3.0,6.0,4.0,2105.0,put,2016-05-19,4975,AS51,5320.696999999999,2016-05-09,0.24005790339145525,-0.0453057851861606,0.00045068342617925623,0.8391349056503831,-1.0251749806236437,-0.06713927543086276,AS51 05-19-16 P4975 Index,2016-03-16,-54
2016-05-10,2.0,4.0,3.1,2105.0,put,2016-05-19,4975,AS51,5342.786999999999,2016-05-10,0.2532187188701448,-0.03616404606875632,0.00037353681283141757,0.6657552229511278,-0.9509737142874695,-0.04840688100909512,AS51 05-19-16 P4975 Index,2016-03-16,-55
2016-05-11,1.0,3.0,1.6,2096.0,put,2016-05-19,4975,AS51,5372.293000000001,2016-05-11,0.25568288648370235,-0.02102153810625733,0.0002483206482802027,0.40163448760679615,-0.6502511601946144,-0.02510331222300921,AS51 05-19-16 P4975 Index,2016-03-16,-56
2016-05-12,1.0,1.0,0.8,2096.0,put,2016-05-19,4975,AS51,5359.302,2016-05-12,0.240615063462322,-0.012734727999915652,0.00018411797013505543,0.24402854316114148,-0.42451044942718913,-0.013242322539063774,AS51 05-19-16 P4975 Index,2016-03-16,-57
2016-05-13,,1.0,1.0,2096.0,put,2016-05-19,4975,AS51,5328.9890000000005,2016-05-13,0.25070394857270595,-0.016147764424372154,0.00023550464172030752,0.27561869936302497,-0.5822578374180356,-0.014309795998696521,AS51 05-19-16 P4975 Index,2016-03-16,-58
